Downloaded from https://mol.org on Oct 3, 2021. Inclusive species list based on approximate intersections with Political boundary polygon for the Mexico region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Thryomanes bewickii","Bewick's Wren","Troglodytidae","Birds"
"Puffinus bulleri","Grey-Backed Shearwater","Procellariidae","Birds"
"Passerina caerulea","Blue Grosbeak","Emberizidae","Birds"
"Pitangus sulphuratus","Great Kiskadee","Tyrannidae","Birds"
"Puffinus lherminieri","Audubon's Shearwater","Procellariidae","Birds"
"Selasphorus rufus","Rufous Hummingbird","Trochilidae","Birds"
"Piranga erythrocephala","Red-Headed Tanager","Cardinalidae","Birds"
"Carduelis tristis","American Goldfinch","Fringillidae","Birds"
"Lampornis clemenciae","Blue-Throated Hummingbird","Trochilidae","Birds"
"Arenaria interpres","Ruddy Turnstone","Scolopacidae","Birds"
"Myadestes occidentalis","Brown-Backed Solitaire","Turdidae","Birds"
"Megascops seductus","Balsas Screech Owl","Strigidae","Birds"
"Anas cyanoptera","Cinnamon Teal","Anatidae","Birds"
"Grus canadensis","Sandhill Crane","Gruidae","Birds"
"Empidonax traillii","Willow Flycatcher","Tyrannidae","Birds"
"Pterodroma cervicalis","White-Necked Petrel","Procellariidae","Birds"
"Buteo albicaudatus","White-Tailed Hawk","Accipitridae","Birds"
"Rallus elegans","King Rail","Rallidae","Birds"
"Pluvialis fulva","Pacific Golden Plover","Charadriidae","Birds"
"Tachycineta thalassina","Violet-Green Swallow","Hirundinidae","Birds"
"Megascops barbarus","Bearded Screech Owl","Strigidae","Birds"
"Thryothorus rufalbus","Rufous-And-White Wren","Troglodytidae","Birds"
"Loxia leucoptera","White-Winged Crossbill","Fringillidae","Birds"
"Dendroica graciae","Grace's Warbler","Parulidae","Birds"
"Ergaticus ruber","Red Warbler","Parulidae","Birds"
"Icterus pectoralis","Spot-Breasted Oriole","Icteridae","Birds"
"Oncostoma cinereigulare","Northern Bentbill","Tyrannidae","Birds"
"Empidonax fulvifrons","Buff-Breasted Flycatcher","Tyrannidae","Birds"
"Cyanocorax melanocyaneus","Bushy-Crested Jay","Corvidae","Birds"
"Vireo bairdi","Cozumel Vireo","Vireonidae","Birds"
"Leptodon cayanensis","White-Collared Kite","Accipitridae","Birds"
"Melanoptila glabrirostris","Black Catbird","Mimidae","Birds"
"Vireo cassinii","Cassin's Vireo","Vireonidae","Birds"
"Larus californicus","California Gull","Laridae","Birds"
"Sterna hirundo","Common Tern","Laridae","Birds"
"Turdus grayi","Clay-Coloured Robin","Turdidae","Birds"
"Melanerpes pygmaeus","Yucatan Woodpecker","Picidae","Birds"
"Puffinus opisthomelas","Black-Vented Shearwater","Procellariidae","Birds"
"Spindalis zena","Stripe-Headed Tanager","Thraupidae","Birds"
"Charadrius collaris","Collared Plover","Charadriidae","Birds"
"Pionus senilis","White-Crowned Parrot","Psittacidae","Birds"
"Anhinga anhinga","American Darter","Anhingidae","Birds"
"Dysithamnus mentalis","Plain Antvireo","Thamnophilidae","Birds"
"Carduelis atriceps","Black-Capped Siskin","Fringillidae","Birds"
"Dendroica tigrina","Cape May Warbler","Parulidae","Birds"
"Haematopus palliatus","American Oystercatcher","Haematopodidae","Birds"
"Trogon collaris","Collared Trogon","Trogonidae","Birds"
"Myioborus miniatus","Slate-Throated Redstart","Parulidae","Birds"
"Cotinga amabilis","Lovely Cotinga","Cotingidae","Birds"
"Ara macao","Scarlet Macaw","Psittacidae","Birds"
"Aimophila humeralis","Black-Chested Sparrow","Emberizidae","Birds"
"Stelgidopteryx serripennis","Northern Rough-Winged Swallow","Hirundinidae","Birds"
"Rhytipterna holerythra","Rufous Mourner","Tyrannidae","Birds"
"Geothlypis poliocephala","Grey-Crowned Yellowthroat","Parulidae","Birds"
"Doricha enicura","Slender Sheartail","Trochilidae","Birds"
"Toxostoma curvirostre","Curve-Billed Thrasher","Mimidae","Birds"
"Laterallus ruber","Ruddy Crake","Rallidae","Birds"
"Ornithion semiflavum","Yellow-Bellied Tyrannulet","Tyrannidae","Birds"
"Odontophorus guttatus","Spotted Wood-Quail","Odontophoridae","Birds"
"Calidris himantopus","Stilt Sandpiper","Scolopacidae","Birds"
"Cepphus columba","Pigeon Guillemot","Alcidae","Birds"
"Polioptila plumbea","Tropical Gnatcatcher","Polioptilidae","Birds"
"Calocitta colliei","Collie's Magpie-Jay","Corvidae","Birds"
"Psarocolius wagleri","Chestnut-Headed Oropendola","Icteridae","Birds"
"Spizaetus tyrannus","Black Hawk-Eagle","Accipitridae","Birds"
"Aratinga brevipes","Socorro Parakeet","Psittacidae","Birds"
"Accipiter cooperii","Cooper's Hawk","Accipitridae","Birds"
"Sphyrapicus nuchalis","Red-Naped Sapsucker","Picidae","Birds"
"Myiobius sulphureipygius","Sulphur-Rumped Flycatcher","Tyrannidae","Birds"
"Polioptila melanura","Black-Tailed Gnatcatcher","Polioptilidae","Birds"
"Picoides arizonae","Arizona Woodpecker","Picidae","Birds"
"Pelecanus erythrorhynchos","American White Pelican","Pelecanidae","Birds"
"Larus philadelphia","Bonaparte's Gull","Laridae","Birds"
"Amphispiza belli","Sage Sparrow","Emberizidae","Birds"
"Hylocharis eliciae","Blue-Throated Goldentail","Trochilidae","Birds"
"Icterus abeillei","Black-Backed Oriole","Icteridae","Birds"
"Eremophila alpestris","Horned Lark","Alaudidae","Birds"
"Phaeochroa cuvierii","Scaly-Breasted Hummingbird","Trochilidae","Birds"
"Hylocharis leucotis","White-Eared Hummingbird","Trochilidae","Birds"
"Hylocichla mustelina","Wood Thrush","Turdidae","Birds"
"Anas platyrhynchos","Mallard","Anatidae","Birds"
"Cyrtonyx ocellatus","Ocellated Quail","Odontophoridae","Birds"
"Granatellus sallaei","Grey-Throated Chat","Cardinalidae","Birds"
"Vireo altiloquus","Black-Whiskered Vireo","Vireonidae","Birds"
"Vermivora peregrina","Tennessee Warbler","Parulidae","Birds"
"Campylorhynchus megalopterus","Grey-Barred Wren","Troglodytidae","Birds"
"Eudocimus albus","White Ibis","Threskiornithidae","Birds"
"Oporornis tolmiei","Macgillivray's Warbler","Parulidae","Birds"
"Columbina inca","Inca Dove","Columbidae","Birds"
"Sclerurus mexicanus","Tawny-Throated Leafscraper","Furnariidae","Birds"
"Thalurania ridgwayi","Mexican Woodnymph","Trochilidae","Birds"
"Eupherusa poliocerca","White-Tailed Hummingbird","Trochilidae","Birds"
"Amazilia yucatanensis","Buff-Bellied Hummingbird","Trochilidae","Birds"
"Geotrygon albifacies","White Faced Quail Dove","Columbidae","Birds"
"Thraupis abbas","Yellow-Winged Tanager","Thraupidae","Birds"
"Phalaenoptilus nuttallii","Common Poorwill","Caprimulgidae","Birds"
"Nycticorax nycticorax","Black-Crowned Night-Heron","Ardeidae","Birds"
"Basileuterus rufifrons","Rufous-Capped Warbler","Parulidae","Birds"
"Charadrius melodus","Piping Plover","Charadriidae","Birds"
"Carduelis psaltria","Dark-Backed Goldfinch","Fringillidae","Birds"
"Nyctiphrynus mcleodii","Eared Poorwill","Caprimulgidae","Birds"
"Calidris pusilla","Semipalmated Sandpiper","Scolopacidae","Birds"
"Turdus rufopalliatus","Grayson's Thrush","Turdidae","Birds"
"Todirostrum cinereum","Common Tody-Flycatcher","Tyrannidae","Birds"
"Turdus assimilis","White-Throated Thrush","Turdidae","Birds"
"Peucaea mystacalis","Bridled Sparrow","Passerellidae","Birds"
"Sturnella neglecta","Western Meadowlark","Icteridae","Birds"
"Peucaea cassinii","Cassin's Sparrow","Passerellidae","Birds"
"Amazilia cyanocephala","Azure-Crowned Hummingbird","Trochilidae","Birds"
"Cyanocorax luxuosus","Green Jay","Corvidae","Birds"
"Rhodinocichla rosea","Rosy Thrush-Tanager","Thraupidae","Birds"
"Dromococcyx phasianellus","Pheasant Cuckoo","Cuculidae","Birds"
"Falco columbarius","Merlin","Falconidae","Birds"
"Leucopternis albicollis","White Hawk","Accipitridae","Birds"
"Vermivora chrysoptera","Golden-Winged Warbler","Parulidae","Birds"
"Arremon brunneinucha","Chestnut Capped Brush Finch","Emberizidae","Birds"
"Cyanolyca nana","Dwarf Jay","Corvidae","Birds"
"Actitis macularius","Spotted Sandpiper","Scolopacidae","Birds"
"Phainopepla nitens","Phainopepla","Bombycillidae","Birds"
"Gallinago gallinago","Common Snipe","Scolopacidae","Birds"
"Zenaida macroura","Mourning Dove","Columbidae","Birds"
"Aratinga canicularis","Orange-Fronted Conure","Psittacidae","Birds"
"Megascops cooperi","Pacific Screech Owl","Strigidae","Birds"
"Anas strepera","Gadwall","Anatidae","Birds"
"Microrhopias quixensis","Dot-Winged Antwren","Thamnophilidae","Birds"
"Anous stolidus","Brown Noddy","Laridae","Birds"
"Icterus maculialatus","Bar-Winged Oriole","Icteridae","Birds"
"Buteo magnirostris","Roadside Hawk","Accipitridae","Birds"
"Piranga ludoviciana","Western Tanager","Cardinalidae","Birds"
"Saltator coerulescens","Greyish Saltator","Cardinalidae","Birds"
"Pachyramphus polychopterus","White-Winged Becard","Cotingidae","Birds"
"Asio stygius","Stygian Owl","Strigidae","Birds"
"Dendroica dominica","Yellow-Throated Warbler","Parulidae","Birds"
"Carpodacus cassinii","Cassin's Finch","Fringillidae","Birds"
"Trogon massena","Scaly-Tailed Trogon","Trogonidae","Birds"
"Thraupis episcopus","Blue-Grey Tanager","Thraupidae","Birds"
"Charadrius alexandrinus","Kentish Plover","Charadriidae","Birds"
"Myiarchus crinitus","Great Crested Flycatcher","Tyrannidae","Birds"
"Phaethornis longirostris","Long-Billed Hermit","Trochilidae","Birds"
"Lipaugus unirufus","Rufous Piha","Cotingidae","Birds"
"Empidonax affinis","Pine Flycatcher","Tyrannidae","Birds"
"Piranga rubra","Summer Tanager","Cardinalidae","Birds"
"Sitta pygmaea","Pygmy Nuthatch","Sittidae","Birds"
"Tangara cabanisi","Azure-Rumped Tanager","Thraupidae","Birds"
"Buteo brachyurus","Short-Tailed Hawk","Accipitridae","Birds"
"Formicarius analis","Black-Faced Antthrush","Formicariidae","Birds"
"Grallaria guatimalensis","Scaled Antpitta","Formicariidae","Birds"
"Myiarchus tuberculifer","Dusky-Capped Flycatcher","Tyrannidae","Birds"
"Numenius americanus","Long-Billed Curlew","Scolopacidae","Birds"
"Piaya cayana","Squirrel Cuckoo","Cuculidae","Birds"
"Caryothraustes poliogaster","Black-Faced Grosbeak","Cardinalidae","Birds"
"Sterna nilotica","Gull-Billed Tern","Laridae","Birds"
"Stellula calliope","Calliope Hummingbird","Trochilidae","Birds"
"Icterus pustulatus","Streak-Backed Oriole","Icteridae","Birds"
"Pipra mentalis","Red-Capped Manakin","Pipridae","Birds"
"Puffinus auricularis","Townsend's Shearwater","Procellariidae","Birds"
"Baeolophus inornatus","Oak Titmouse","Paridae","Birds"
