Downloaded from https://mol.org on Oct 3, 2021. Inclusive species list based on approximate intersections with Political boundary polygon for the Mexico region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Amphispiza quinquestriata","Five Striped Sparrow","Emberizidae","Birds"
"Melanotis hypoleucus","Blue-And-White Mockingbird","Mimidae","Birds"
"Phylloscopus borealis","Arctic Warbler","Sylviidae","Birds"
"Accipiter gentilis","Goshawk","Accipitridae","Birds"
"Strix fulvescens","Fulvous Owl","Strigidae","Birds"
"Campylopterus curvipennis","Wedge-Tailed Sabrewing","Trochilidae","Birds"
"Rynchops niger","Black Skimmer","Laridae","Birds"
"Dendrocygna bicolor","Fulvous Whistling-Duck","Anatidae","Birds"
"Catharus dryas","Spotted Nightingale-Thrush","Turdidae","Birds"
"Amazilia violiceps","Violet-Crowned Hummingbird","Trochilidae","Birds"
"Doricha eliza","Mexican Sheartail","Trochilidae","Birds"
"Pterodroma ultima","Murphy's Petrel","Procellariidae","Birds"
"Halocyptena microsoma","Least Storm Petrel","Hydrobatidae","Birds"
"Pterodroma phaeopygia","Hawaiian Petrel","Procellariidae","Birds"
"Chlorostilbon forficatus","Cozumel Emerald","Trochilidae","Birds"
"Sitta carolinensis","White-Breasted Nuthatch","Sittidae","Birds"
"Amaurospiza concolor","Blue Seedeater","Cardinalidae","Birds"
"Dendroica petechia","Yellow Warbler","Parulidae","Birds"
"Gavia stellata","Red-Throated Diver","Gaviidae","Birds"
"Amazona albifrons","White-Fronted Amazon","Psittacidae","Birds"
"Dendroica fusca","Blackburnian Warbler","Parulidae","Birds"
"Piranga hepatica","Hepatic Tanager","Cardinalidae","Birds"
"Turdus migratorius","American Robin","Turdidae","Birds"
"Calidris canutus","Red Knot","Scolopacidae","Birds"
"Casmerodius albus","Great Egret","Ardeidae","Birds"
"Numenius phaeopus","Whimbrel","Scolopacidae","Birds"
"Anas rubripes","American Black Duck","Anatidae","Birds"
"Thryothorus felix","Happy Wren","Troglodytidae","Birds"
"Regulus satrapa","Golden-Crowned Kinglet","Reguliidae","Birds"
"Thamnophilus doliatus","Barred Antshrike","Thamnophilidae","Birds"
"Celeus castaneus","Chestnut-Coloured Woodpecker","Picidae","Birds"
"Icteria virens","Yellow-Breasted Chat","Parulidae","Birds"
"Anthus rubescens","Buff-Bellied Pipit","Motacillidae","Birds"
"Arremonops rufivirgatus","Olive Sparrow","Emberizidae","Birds"
"Asio flammeus","Short-Eared Owl","Strigidae","Birds"
"Sula sula","Red-Footed Booby","Sulidae","Birds"
"Gygis alba","Little White Tern","Laridae","Birds"
"Nomonyx dominicus","Masked Duck","Anatidae","Birds"
"Aechmophorus clarkii","Clark's Grebe","Podicipedidae","Birds"
"Picoides scalaris","Ladder-Backed Woodpecker","Picidae","Birds"
"Aulacorhynchus prasinus","Emerald Toucanet","Ramphastidae","Birds"
"Myioborus pictus","Painted Redstart","Parulidae","Birds"
"Toxostoma lecontei","Le Conte's Thrasher","Mimidae","Birds"
"Callipepla douglasii","Elegant Quail","Odontophoridae","Birds"
"Fregata minor","Great Frigatebird","Fregatidae","Birds"
"Vermivora ruficapilla","Nashville Warbler","Parulidae","Birds"
"Morus bassanus","Gannet","Sulidae","Birds"
"Contopus cooperi","Olive-Sided Flycatcher","Tyrannidae","Birds"
"Pipilo maculatus","Spotted Towhee","Emberizidae","Birds"
"Aramides cajanea","Grey-Necked Wood-Rail","Rallidae","Birds"
"Corvus imparatus","Mexican Crow","Corvidae","Birds"
"Cathartes burrovianus","Lesser Yellow-Headed Vulture","Cathartidae","Birds"
"Cathartes aura","Turkey Vulture","Cathartidae","Birds"
"Vireo brevipennis","Slaty Vireo","Vireonidae","Birds"
"Vireo solitarius","Solitary Vireo","Vireonidae","Birds"
"Cygnus buccinator","Trumpeter Swan","Anatidae","Birds"
"Picoides dorsalis","American Three-Toed Woodpecker","Picidae","Birds"
"Poecilotriccus sylvia","Slate Headed Tody Flycatcher","Tyrannidae","Birds"
"Spizaetus melanoleucus","Black And White Hawk Eagle","Accipitridae","Birds"
"Larus dominicanus","Kelp Gull","Laridae","Birds"
"Nyctibius grandis","Great Potoo","Nyctibiidae","Birds"
"Sialia mexicana","Western Bluebird","Turdidae","Birds"
"Catharus fuscescens","Veery","Turdidae","Birds"
"Nyctanassa violacea","Yellow-Crowned Night-Heron","Ardeidae","Birds"
"Tyrannus tyrannus","Eastern Kingbird","Tyrannidae","Birds"
"Atlapetes pileatus","Rufous-Capped Brush-Finch","Emberizidae","Birds"
"Cyanerpes cyaneus","Red-Legged Honeycreeper","Thraupidae","Birds"
"Chloroceryle amazona","Amazon Kingfisher","Alcedinidae","Birds"
"Aimophila rufescens","Rusty Sparrow","Emberizidae","Birds"
"Myadestes unicolor","Slate-Coloured Solitaire","Turdidae","Birds"
"Amazona farinosa","Mealy Amazon","Psittacidae","Birds"
"Ortalis poliocephala","West Mexican Chachalaca","Cracidae","Birds"
"Brotogeris jugularis","Orange-Chinned Parakeet","Psittacidae","Birds"
"Xanthocephalus xanthocephalus","Yellow-Headed Blackbird","Icteridae","Birds"
"Vireolanius melitophrys","Chestnut-Sided Shrike-Vireo","Vireonidae","Birds"
"Pharomachrus mocinno","Resplendent Quetzal","Trogonidae","Birds"
"Aythya valisineria","Canvasback","Anatidae","Birds"
"Tryngites subruficollis","Buff-Breasted Sandpiper","Scolopacidae","Birds"
"Dendroica caerulescens","Black-Throated Blue Warbler","Parulidae","Birds"
"Ammodramus nelsoni","Nelson's Sparrow","Emberizidae","Birds"
"Onychorhynchus mexicanus","Northern Royal Flycatcher","Tyrannidae","Birds"
"Pipilo aberti","Abert's Towhee","Emberizidae","Birds"
"Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae","Birds"
"Fratercula cirrhata","Tufted Puffin","Alcidae","Birds"
"Harpia harpyja","Harpy Eagle","Accipitridae","Birds"
"Melozone leucotis","White-Eared Ground-Sparrow","Emberizidae","Birds"
"Fregata magnificens","Magnificent Frigatebird","Fregatidae","Birds"
"Otus flammeolus","Flammulated Owl","Strigidae","Birds"
"Dendroica occidentalis","Hermit Warbler","Parulidae","Birds"
"Amazilia tzacatl","Rufous-Tailed Hummingbird","Trochilidae","Birds"
"Deltarhynchus flammulatus","Flammulated Flycatcher","Tyrannidae","Birds"
"Falco femoralis","Aplomado Falcon","Falconidae","Birds"
"Empidonax albigularis","White-Throated Flycatcher","Tyrannidae","Birds"
"Euphagus cyanocephalus","Brewer's Blackbird","Icteridae","Birds"
"Chamaea fasciata","Wrentit","Timaliidae","Birds"
"Megaceryle torquata","Ringed Kingfisher","Alcedinidae","Birds"
"Motacilla alba","White Wagtail","Motacillidae","Birds"
"Podiceps nigricollis","Black-Necked Grebe","Podicipedidae","Birds"
"Streptoprocne semicollaris","White-Naped Swift","Apodidae","Birds"
"Vireo griseus","White-Eyed Vireo","Vireonidae","Birds"
"Passerina leclancherii","Orange-Bellied Bunting","Emberizidae","Birds"
"Geothlypis trichas","Common Yellowthroat","Parulidae","Birds"
"Myrmotherula schisticolor","Slaty Antwren","Thamnophilidae","Birds"
"Puffinus creatopus","Pink-Footed Shearwater","Procellariidae","Birds"
"Contopus cinereus","Tropical Pewee","Tyrannidae","Birds"
"Coccyzus erythropthalmus","Black-Billed Cuckoo","Cuculidae","Birds"
"Piranga flava","Hepatic Tanager","Cardinalidae","Birds"
"Hylomanes momotula","Tody Motmot","Momotidae","Birds"
"Contopus virens","Eastern Wood-Pewee","Tyrannidae","Birds"
"Corvus brachyrhynchos","American Crow","Corvidae","Birds"
"Xema sabini","Sabine's Gull","Laridae","Birds"
"Campylopterus excellens","Long-Tailed Sabrewing","Trochilidae","Birds"
"Larus ridibundus","Common Black-Headed Gull","Laridae","Birds"
"Cypseloides storeri","White-Fronted Swift","Apodidae","Birds"
"Thryothorus sinaloa","Bar-Vented Wren","Troglodytidae","Birds"
"Anthus spragueii","Sprague's Pipit","Motacillidae","Birds"
"Dendrocolaptes sanctithomae","Northern Barred Woodcreeper","Dendrocolaptidae","Birds"
"Anous minutus","Black Noddy","Laridae","Birds"
"Vireolanius pulchellus","Green Shrike-Vireo","Vireonidae","Birds"
"Psarocolius montezuma","Montezuma Oropendola","Icteridae","Birds"
"Anas fulvigula","Mottled Duck","Anatidae","Birds"
"Henicorhina leucophrys","Grey-Breasted Wood-Wren","Troglodytidae","Birds"
"Caprimulgus arizonae","Whip-Poor-Will (Mexican)","Caprimulgidae","Birds"
"Podilymbus podiceps","Pied-Billed Grebe","Podicipedidae","Birds"
"Sterna sandvicensis","Sandwich Tern","Laridae","Birds"
"Procellaria parkinsoni","Black Petrel","Procellariidae","Birds"
"Limosa fedoa","Marbled Godwit","Scolopacidae","Birds"
"Hylophilus decurtatus","Grey-Headed Greenlet","Vireonidae","Birds"
"Anabacerthia variegaticeps","Scaly-Throated Foliage-Gleaner","Furnariidae","Birds"
"Melozone aberti","Abert's Towhee","Emberizidae","Birds"
"Campylorhynchus gularis","Spotted Wren","Troglodytidae","Birds"
"Calidris alpina","Dunlin","Scolopacidae","Birds"
"Sula leucogaster","Brown Booby","Sulidae","Birds"
"Elanus leucurus","White-Tailed Kite","Accipitridae","Birds"
"Calidris fuscicollis","White-Rumped Sandpiper","Scolopacidae","Birds"
"Turdus plebejus","Mountain Robin","Turdidae","Birds"
"Ramphocelus passerinii","Scarlet-Rumped Tanager","Thraupidae","Birds"
"Leptotila plumbeiceps","Brown-Backed Dove","Columbidae","Birds"
"Calidris minutilla","Least Sandpiper","Scolopacidae","Birds"
"Peucaea sumichrasti","Cinnamon Tailed Sparrow","Passerellidae","Birds"
"Corvus sinaloae","Sinaloa Crow","Corvidae","Birds"
"Cyanerpes lucidus","Shining Honeycreeper","Thraupidae","Birds"
"Penelopina nigra","Highland Guan","Cracidae","Birds"
"Myiodynastes luteiventris","Sulphur-Bellied Flycatcher","Tyrannidae","Birds"
"Junco insularis","Guadalupe Junco","Emberizidae","Birds"
"Baeolophus atricristatus","Black-Crested Titmouse","Paridae","Birds"
"Dendroica castanea","Bay-Breasted Warbler","Parulidae","Birds"
"Caprimulgus ridgwayi","Ridgway's Whip-Poor-Will","Caprimulgidae","Birds"
"Bubo virginianus","Great Horned Owl","Strigidae","Birds"
"Electron carinatum","Kell-Billed Motmot","Momotidae","Birds"
"Cyanocitta stelleri","Steller's Jay","Corvidae","Birds"
"Egretta thula","Snowy Egret","Ardeidae","Birds"
"Atthis heloisa","Bumblebee Hummingbird","Trochilidae","Birds"
"Dendrortyx macroura","Long-Tailed Tree-Quail","Odontophoridae","Birds"
"Sphyrapicus thyroideus","Williamson's Sapsucker","Picidae","Birds"
"Cyanolyca pumilo","Black-Throated Jay","Corvidae","Birds"
"Myiarchus yucatanensis","Yucatan Flycatcher","Tyrannidae","Birds"
"Cistothorus palustris","Marsh Wren","Troglodytidae","Birds"
"Porzana flaviventer","Yellow-Breasted Crake","Rallidae","Birds"
"Streptoprocne rutila","Chestnut Collared Swift","Apodidae","Birds"
"Myiozetetes similis","Social Flycatcher","Tyrannidae","Birds"
"Melanerpes formicivorus","Acorn Woodpecker","Picidae","Birds"
"Harpagus bidentatus","Double-Toothed Kite","Accipitridae","Birds"
"Dendroica palmarum","Palm Warbler","Parulidae","Birds"
"Pheucticus melanocephalus","Black-Headed Grosbeak","Cardinalidae","Birds"
"Ramphastos sulfuratus","Keel-Billed Toucan","Ramphastidae","Birds"
"Spizella pallida","Clay-Coloured Sparrow","Emberizidae","Birds"
"Chen caerulescens","Snow Goose","Anatidae","Birds"
"Gymnorhinus cyanocephalus","Pinyon Jay","Corvidae","Birds"
"Troglodytes aedon","House Wren","Troglodytidae","Birds"
"Dendrocolaptes picumnus","Black-Banded Woodcreeper","Dendrocolaptidae","Birds"
"Geothlypis flavovelata","Yellow-Crowned Yellowthroat","Parulidae","Birds"
"Melanerpes lewis","Lewis' Woodpecker","Picidae","Birds"
"Nyctiphrynus yucatanicus","Yucatan Poorwill","Caprimulgidae","Birds"
"Amazilia cyanura","Blue-Tailed Hummingbird","Trochilidae","Birds"
"Amazona finschi","Lilac-Crowned Amazon","Psittacidae","Birds"
"Cyanocorax sanblasianus","San Blas Jay","Corvidae","Birds"
"Oriturus superciliosus","Striped Sparrow","Emberizidae","Birds"
"Petrochelidon fulva","Cave Swallow","Hirundinidae","Birds"
"Thryothorus maculipectus","Spot-Breasted Wren","Troglodytidae","Birds"
"Icterus auratus","Orange Oriole","Icteridae","Birds"
"Malacoptila panamensis","White-Whiskered Puffbird","Bucconidae","Birds"
"Trogon citreolus","Citreoline Trogon","Trogonidae","Birds"
"Tringa solitaria","Solitary Sandpiper","Scolopacidae","Birds"
"Coereba flaveola","Bananaquit","Coerebidae","Birds"
"Phalacrocorax auritus","Double-Crested Cormorant","Phalacrocoracidae","Birds"
"Melospiza georgiana","Swamp Sparrow","Emberizidae","Birds"
"Sporophila torqueola","White-Collared Seedeater","Emberizidae","Birds"
"Charadrius vociferus","Kildeer","Charadriidae","Birds"
"Chlorospingus ophthalmicus","Common Bush-Tanager","Thraupidae","Birds"
"Geotrygon montana","Ruddy Quail-Dove","Columbidae","Birds"
"Stercorarius longicaudus","Long-Tailed Skua","Stercorariidae","Birds"
"Pterodroma externa","Juan Fernandez Petrel","Procellariidae","Birds"
"Quiscalus mexicanus","Great-Tailed Grackle","Icteridae","Birds"
"Charadrius wilsonia","Wilson's Plover","Charadriidae","Birds"
"Rissa tridactyla","Kittiwake","Laridae","Birds"
"Calypte costae","Costa's Hummingbird","Trochilidae","Birds"
"Accipiter striatus","Plain-Breasted Hawk","Accipitridae","Birds"
"Empidonax hammondii","Hammond's Flycatcher","Tyrannidae","Birds"
"Cacicus melanicterus","Yellow-Winged Cacique","Icteridae","Birds"
"Ammodramus maritimus","Seaside Sparrow","Emberizidae","Birds"
"Larus occidentalis","Western Gull","Laridae","Birds"
"Phaethornis striigularis","Stripe-Throated Hermit","Trochilidae","Birds"
"Pterodroma neglecta","Kermadec Petrel","Procellariidae","Birds"
"Dendroica cerulea","Cerulean Warbler","Parulidae","Birds"
"Buteo lagopus","Rough-Legged Buzzard","Accipitridae","Birds"
"Seiurus noveboracensis","Northern Waterthrush","Parulidae","Birds"
"Chlorophonia occipitalis","Blue-Crowned Chlorophonia","Thraupidae","Birds"
"Megarynchus pitangua","Boat-Billed Flycatcher","Tyrannidae","Birds"
"Picoides pubescens","Downy Woodpecker","Picidae","Birds"
"Calidris melanotos","Pectoral Sandpiper","Scolopacidae","Birds"
"Larus pipixcan","Franklin's Gull","Laridae","Birds"
"Automolus rubiginosus","Ruddy Foliage-Gleaner","Furnariidae","Birds"
"Tityra semifasciata","Masked Tityra","Cotingidae","Birds"
"Phylloscopus fuscatus","Dusky Warbler","Sylviidae","Birds"
"Cardinalis cardinalis","Common Cardinal","Cardinalidae","Birds"
"Tyrannus forficatus","Scissor-Tailed Flycatcher","Tyrannidae","Birds"
"Sclerurus guatemalensis","Scaly-Throated Leafscraper","Furnariidae","Birds"
"Butorides virescens","Green Heron","Ardeidae","Birds"
"Turdus rufitorques","Rufous-Collared Robin","Turdidae","Birds"
"Euthlypis lachrymosa","Fan-Tailed Warbler","Parulidae","Birds"
"Chlorophanes spiza","Green Honeycreeper","Thraupidae","Birds"
"Vireo plumbeus","Plumbeous Vireo","Vireonidae","Birds"
"Synthliboramphus hypoleucus","Xantus' Murrelet","Alcidae","Birds"
"Peucedramus taeniatus","Olive Warbler","Peucedramidae","Birds"
"Branta hutchinsii","Cackling Goose","Anatidae","Birds"
"Toxostoma bendirei","Bendire's Thrasher","Mimidae","Birds"
"Geococcyx californianus","Greater Roadrunner","Cuculidae","Birds"
"Manacus candei","White-Collared Manakin","Pipridae","Birds"
"Archilochus alexandri","Black-Chinned Hummingbird","Trochilidae","Birds"
"Tityra inquisitor","Black-Crowned Tityra","Cotingidae","Birds"
"Progne sinaloae","Sinaloa Martin","Hirundinidae","Birds"
"Ortalis leucogastra","White-Bellied Chachalaca","Cracidae","Birds"
"Crypturellus boucardi","Slaty-Breasted Tinamou","Tinamidae","Birds"
"Morococcyx erythropygus","Lesser Ground-Cuckoo","Cuculidae","Birds"
"Pandion haliaetus","Osprey","Accipitridae","Birds"
"Aeronautes saxatalis","White-Throated Swift","Apodidae","Birds"
"Chondestes grammacus","Lark Sparrow","Emberizidae","Birds"
"Oceanodroma tethys","Wedge-Rumped Storm-Petrel","Hydrobatidae","Birds"
"Ardea herodias","Great Blue Heron","Ardeidae","Birds"
"Cistothorus platensis","Sedge Wren","Troglodytidae","Birds"
"Myiarchus cinerascens","Ash-Throated Flycatcher","Tyrannidae","Birds"
"Tachybaptus dominicus","Short-Billed Grebe","Podicipedidae","Birds"
"Hylorchilus sumichrasti","Sumichrast's Wren","Troglodytidae","Birds"
"Passerina ciris","Painted Bunting","Emberizidae","Birds"
"Chordeiles acutipennis","Lesser Nighthawk","Caprimulgidae","Birds"
"Histrionicus histrionicus","Harlequin Duck","Anatidae","Birds"
"Polioptila caerulea","Blue-Grey Gnatcatcher","Polioptilidae","Birds"
"Gallinula chloropus","Common Moorhen","Rallidae","Birds"
"Lurocalis semitorquatus","Semi-Collared Nighthawk","Caprimulgidae","Birds"
"Pipilo ocai","Collared Towhee","Emberizidae","Birds"
"Camptostoma imberbe","Northern Beardless Tyrannulet","Tyrannidae","Birds"
"Mniotilta varia","Black-And-White Warbler","Parulidae","Birds"
"Cinclus mexicanus","North American Dipper","Cinclidae","Birds"
"Coccyzus americanus","Yellow-Billed Cuckoo","Cuculidae","Birds"
"Streptoprocne zonaris","White-Collared Swift","Apodidae","Birds"
"Empidonax flaviventris","Yellow-Bellied Flycatcher","Tyrannidae","Birds"
"Heliornis fulica","Sungrebe","Heliornithidae","Birds"
"Calcarius ornatus","Chestnut-Collared Longspur","Emberizidae","Birds"
"Buteogallus urubitinga","Great Black-Hawk","Accipitridae","Birds"
"Seiurus aurocapilla","Ovenbird","Parulidae","Birds"
"Anthracothorax prevostii","Green-Breasted Mango","Trochilidae","Birds"
"Parus sclateri","Mexican Chickadee","Paridae","Birds"
"Tyrannus vociferans","Cassin's Kingbird","Tyrannidae","Birds"
"Molossus aztecus","Aztec Mastiff Bat","Molossidae","Mammals"
"Megadontomys nelsoni","Nelson's Giant Deer Mouse","Cricetidae","Mammals"
"Physeter macrocephalus","Sperm Whale","Physeteridae","Mammals"
"Vampyressa thyone","Northern Little Yellow-Eared Bat","Phyllostomidae","Mammals"
"Thomomys umbrinus","Southern Pocket Gopher","Geomyidae","Mammals"
"Sorex ventralis","Chestnut-Bellied Shrew","Soricidae","Mammals"
"Artibeus lituratus","Great Fruit Eating Bat","Phyllostomidae","Mammals"
"Scapanus latimanus","Broad-Footed Mole","Talpidae","Mammals"
"Tursiops truncatus","Bottlenose Dolphin","Delphinidae","Mammals"
"Molossus rufus","Black Mastiff Bat","Molossidae","Mammals"
"Sylvilagus insonus","Omilteme Cottontail","Leporidae","Mammals"
"Rhogeessa genowaysi","Genoways's Yellow Bat","Vespertilionidae","Mammals"
"Dipodomys ordii","Ord's Kangaroo Rat","Heteromyidae","Mammals"
"Peromyscus guatemalensis","Guatemalan Deer Mouse","Cricetidae","Mammals"
"Leptonycteris nivalis","Mexican Long Nosed Bat","Phyllostomidae","Mammals"
"Myotis findleyi","Findley's Myotis","Vespertilionidae","Mammals"
"Pteronotus davyi","Davy's Naked Backed Bat","Mormoopidae","Mammals"
"Microtus guatemalensis","Guatemalan Vole","Cricetidae","Mammals"
"Sigmodon hirsutus","Southern Cotton Rat","Cricetidae","Mammals"
"Callorhinus ursinus","Northern Fur Seal","Otariidae","Mammals"
"Heteromys desmarestianus","Demarest's Spiny Pocket Mouse","Heteromyidae","Mammals"
"Chaetodipus penicillatus","Desert Pocket Mouse","Heteromyidae","Mammals"
"Castor canadensis","American Beaver","Castoridae","Mammals"
"Myotis velifer","Cave Myotis","Vespertilionidae","Mammals"
"Idionycteris phyllotis","Allen's Big-Eared Bat","Vespertilionidae","Mammals"
"Lagenorhynchus obliquidens","Pacific White Sided Dolphin","Delphinidae","Mammals"
"Cuniculus paca","Spotted Paca","Cuniculidae","Mammals"
"Tadarida brasiliensis","Brazilian Free Tailed Bat","Molossidae","Mammals"
"Lagenodelphis hosei","Fraser's Dolphin","Delphinidae","Mammals"
"Lasionycteris noctivagans","Silver-Haired Bat","Vespertilionidae","Mammals"
"Sciurus aureogaster","Mexican Gray Squirrel","Sciuridae","Mammals"
"Taxidea taxus","American Badger","Mustelidae","Mammals"
"Potos flavus","Kinkajou","Procyonidae","Mammals"
"Sorex orizabae","Orizaba Shrew","Soricidae","Mammals"
"Oligoryzomys fulvescens","Fulvous Pygmy Rice Rat","Cricetidae","Mammals"
"Sigmodon fulviventer","Tawny-Bellied Cotton Rat","Cricetidae","Mammals"
"Onychomys torridus","Southern Grasshopper Mouse","Cricetidae","Mammals"
"Carollia perspicillata","Seba's Short-Tailed Bat","Phyllostomidae","Mammals"
"Mesoplodon peruvianus","Pygmy Beaked Whale","Ziphiidae","Mammals"
"Heteromys pictus","null","Heteromyidae","Mammals"
"Tamiasciurus mearnsi","Mearns's Squirrel","Sciuridae","Mammals"
"Zalophus californianus","Californian Sea Lion","Otariidae","Mammals"
"Didelphis marsupialis","Common Opossum","Didelphidae","Mammals"
"Sorex veraepacis","Verapaz Shrew","Soricidae","Mammals"
"Molossus bondae","Bonda Mastiff Bat","Molossidae","Mammals"
"Tylomys bullaris","Chiapan Climbing Rat","Cricetidae","Mammals"
"Reithrodontomys zacatecae","Zacatecas Harvest Mouse","Cricetidae","Mammals"
"Phocoena sinus","Vaquita","Phocoenidae","Mammals"
"Dipodomys phillipsii","Phillip's Kangaroo Rat","Heteromyidae","Mammals"
"Vampyrum spectrum","Spectral Bat","Phyllostomidae","Mammals"
"Coendou mexicanus","null","Erethizontidae","Mammals"
"Orthogeomys cuniculus","Oaxacan Pocket Gopher","Geomyidae","Mammals"
"Carollia subrufa","Gray Short Tailed Bat","Phyllostomidae","Mammals"
"Balantiopteryx io","Thomas's Sac-Winged Bat","Emballonuridae","Mammals"
"Molossus coibensis","Coiban Mastiff Bat","Molossidae","Mammals"
"Dasyprocta mexicana","Mexican Agouti","Dasyproctidae","Mammals"
"Platyrrhinus helleri","Heller's Broad-Nosed Bat","Phyllostomidae","Mammals"
"Macrotus californicus","California Leaf-Nosed Bat","Phyllostomidae","Mammals"
"Sorex ixtlanensis","Ixtlan Shrew","Soricidae","Mammals"
"Sigmodon alleni","Allen's Cotton Rat","Cricetidae","Mammals"
"Lonchorhina aurita","Tomes's Sword Nosed Bat","Phyllostomidae","Mammals"
"Tamandua mexicana","Northern Tamandua","Myrmecophagidae","Mammals"
"Peromyscus maniculatus","Deer Mouse","Cricetidae","Mammals"
"Lichonycteris obscura","Dark Long Tongued Bat","Phyllostomidae","Mammals"
"Cryptotis goldmani","Goldman's Small Eared Shrew","Soricidae","Mammals"
"Bassariscus sumichrasti","Cacomistle","Procyonidae","Mammals"
"Chaetodipus pernix","Sinaloan Pocket Gopher","Heteromyidae","Mammals"
"Peromyscus polius","Chihuahuan Mouse","Cricetidae","Mammals"
"Trichechus manatus","American Manatee","Trichechidae","Mammals"
"Phylloderma stenops","Pale Faced Bat","Phyllostomidae","Mammals"
"Sciurus yucatanensis","Yucatan Squirrel","Sciuridae","Mammals"
"Micronycteris microtis","Common Big-Eared Bat","Phyllostomidae","Mammals"
"Peromyscus melanophrys","Plateau Mouse","Cricetidae","Mammals"
"Stenella clymene","Clymene Dolphin","Delphinidae","Mammals"
"Cryptotis obscura","Grizzled Mexican Small-Eared Shrew","Soricidae","Mammals"
"Sorex veraecrucis","Veracruz Shrew","Soricidae","Mammals"
"Peromyscus hylocetes","Transvolcanic Deermouse","Cricetidae","Mammals"
"Pecari tajacu","Collared Peccary","Tayassuidae","Mammals"
"Tlacuatzin canescens","Grayish Mouse Opossum","Didelphidae","Mammals"
"Musonycteris harrisoni","Banana Bat","Phyllostomidae","Mammals"
"Carollia sowelli","Sowell's Short-Tailed Bat","Phyllostomidae","Mammals"
"Neotoma palatina","Bolaños Woodrat","Cricetidae","Mammals"
"Nyctinomops laticaudatus","Broad-Eared Bat","Molossidae","Mammals"
"Heteromys nelsoni","Nelson's Spiny Pocket Mouse","Heteromyidae","Mammals"
"Caluromys derbianus","Central American Woolly Opossum","Didelphidae","Mammals"
"Peromyscus nasutus","Northern Rock Mouse","Cricetidae","Mammals"
"Peromyscus spicilegus","Gleaning Deer Mouse","Cricetidae","Mammals"
"Sciurus niger","Fox Squirrel","Sciuridae","Mammals"
"Lasiurus cinereus","Hoary Bat","Vespertilionidae","Mammals"
"Sylvilagus robustus","Robust Cottontail","Leporidae","Mammals"
"Sciurus colliaei","Collie's Squirrel","Sciuridae","Mammals"
"Globicephala macrorhynchus","Short Finned Pilot Whale","Delphinidae","Mammals"
"Handleyomys rhabdops","Striped Rice Rat","Cricetidae","Mammals"
"Microtus mexicanus","Mexican Vole","Cricetidae","Mammals"
"Choeronycteris mexicana","Mexican Long Tongued Bat","Phyllostomidae","Mammals"
"Peromyscus fraterculus","Northern Baja Deermouse","Cricetidae","Mammals"
"Eptesicus brasiliensis","Brazilian Brown Bat","Vespertilionidae","Mammals"
"Handleyomys chapmani","Chapman's Rice Rat","Cricetidae","Mammals"
"Heteromys gaumeri","Gaumer's Spiny Pocket Mouse","Heteromyidae","Mammals"
"Baiomys musculus","Southern Pygmy Mouse","Cricetidae","Mammals"
"Neotoma bryanti","Bryant's Woodrat","Cricetidae","Mammals"
"Mesoplodon ginkgodens","Ginkgo Toothed Whale","Ziphiidae","Mammals"
"Lasiurus xanthinus","Western Yellow Bat","Vespertilionidae","Mammals"
"Diclidurus albus","Northern Ghost Bat","Emballonuridae","Mammals"
"Peromyscus mexicanus","Mexican Deer Mouse","Cricetidae","Mammals"
"Sciurus alleni","Allen's Squirrel","Sciuridae","Mammals"
"Peromyscus californicus","California Mouse","Cricetidae","Mammals"
"Dipodomys gravipes","San Quintin Kangaroo Rat","Heteromyidae","Mammals"
"Neotoma mexicana","Mexican Woodrat","Cricetidae","Mammals"
"Phoca vitulina","Harbour Seal","Phocidae","Mammals"
"Balaenoptera edeni","Bryde's Whale","Balaenopteridae","Mammals"
"Cryptotis mexicana","Mexican Small-Eared Shrew","Soricidae","Mammals"
"Orcinus orca","Killer Whale","Delphinidae","Mammals"
"Chaetodipus artus","Narrow-Skulled Pocket Mouse","Heteromyidae","Mammals"
"Rhogeessa parvula","Little Yellow Bat","Vespertilionidae","Mammals"
"Phocoenoides dalli","Dall's Porpoise","Phocoenidae","Mammals"
"Sylvilagus mansuetus","San Jose Brush Rabbit","Leporidae","Mammals"
"Rhogeessa tumida","Black Winged Little Yellow Bat","Vespertilionidae","Mammals"
"Rheomys mexicanus","Mexican Water Mouse","Cricetidae","Mammals"
"Lontra longicaudis","Neotropical Otter","Mustelidae","Mammals"
"Peromyscus difficilis","Rock Mouse","Cricetidae","Mammals"
"Artibeus hirsutus","Hairy Fruit Eating Bat","Phyllostomidae","Mammals"
"Cryptotis parva","Least Shrew","Soricidae","Mammals"
"Geomys arenarius","Desert Pocket Gopher","Geomyidae","Mammals"
"Alouatta palliata","Mantled Howler Monkey","Atelidae","Mammals"
"Handleyomys alfaroi","Alfaro's Rice Rat","Cricetidae","Mammals"
"Glossophaga morenoi","Western Long Tongued Bat","Phyllostomidae","Mammals"
"Panthera onca","Jaguar","Felidae","Mammals"
"Handleyomys rostratus","Long-Nosed Rice Rat","Cricetidae","Mammals"
"Peromyscus eva","Eva's Desert Mouse","Cricetidae","Mammals"
"Peromyscus furvus","Blackish Deer Mouse","Cricetidae","Mammals"
"Tylomys nudicaudus","Peters's Climbing Rat","Cricetidae","Mammals"
